id,family,family_file,name,tier,bpmn
ACT-12,ACT,01-families/actuation-and-reality-feedback.md,"Closed-loop health review","core when any ACT process runs at T3 or any emergency class is declared; recommended otherwise",bpmn/actuation-and-reality-feedback/ACT-12-closed-loop-health-review.bpmn
CON-1,CON,01-families/contribution-and-entry-control.md,"Contribution intake","core",bpmn/contribution-and-entry-control/CON-1-contribution-intake.bpmn
CON-2,CON,01-families/contribution-and-entry-control.md,"Provenance capture","core",bpmn/contribution-and-entry-control/CON-2-provenance-capture.bpmn
CON-3,CON,01-families/contribution-and-entry-control.md,"Validation gates","core",bpmn/contribution-and-entry-control/CON-3-validation-gates.bpmn
CON-4,CON,01-families/contribution-and-entry-control.md,"Review and approval","core",bpmn/contribution-and-entry-control/CON-4-review-and-approval.bpmn
CON-5,CON,01-families/contribution-and-entry-control.md,"Mastership enforcement","core",bpmn/contribution-and-entry-control/CON-5-mastership-enforcement.bpmn
CON-6,CON,01-families/contribution-and-entry-control.md,"Versioning and change history","core",bpmn/contribution-and-entry-control/CON-6-versioning-and-change-history.bpmn
CON-7,CON,01-families/contribution-and-entry-control.md,"Bulk import","recommended",bpmn/contribution-and-entry-control/CON-7-bulk-import.bpmn
CON-8,CON,01-families/contribution-and-entry-control.md,"Correction and retraction","core",bpmn/contribution-and-entry-control/CON-8-correction-and-retraction.bpmn
CON-9,CON,01-families/contribution-and-entry-control.md,"Entry dispute resolution","recommended",bpmn/contribution-and-entry-control/CON-9-entry-dispute-resolution.bpmn
CON-10,CON,01-families/contribution-and-entry-control.md,"Contributor and Agent onboarding","core",bpmn/contribution-and-entry-control/CON-10-contributor-and-agent-onboarding.bpmn
CON-11,CON,01-families/contribution-and-entry-control.md,"External edit capture","core",bpmn/contribution-and-entry-control/CON-11-external-edit-capture.bpmn
CON-12,CON,01-families/contribution-and-entry-control.md,"Standard and schema migration","recommended",bpmn/contribution-and-entry-control/CON-12-standard-and-schema-migration.bpmn
CON-13,CON,01-families/contribution-and-entry-control.md,"Consumer and subscription register","recommended",bpmn/contribution-and-entry-control/CON-13-consumer-and-subscription-register.bpmn
FED-1,FED,01-families/exchange-and-federation.md,"Federation discovery and evaluation","recommended",bpmn/exchange-and-federation/FED-1-federation-discovery-and-evaluation.bpmn
FED-2,FED,01-families/exchange-and-federation.md,"Federation contract negotiation and signing","core",bpmn/exchange-and-federation/FED-2-federation-contract-negotiation-and-signing.bpmn
FED-3,FED,01-families/exchange-and-federation.md,"Consent lifecycle: grant, renewal and revocation","core",bpmn/exchange-and-federation/FED-3-consent-lifecycle-grant-renewal-and-revocation.bpmn
FED-4,FED,01-families/exchange-and-federation.md,"Disclosure review and projection release","core",bpmn/exchange-and-federation/FED-4-disclosure-review-and-projection-release.bpmn
FED-5,FED,01-families/exchange-and-federation.md,"Federation establishment and initial synchronization","core",bpmn/exchange-and-federation/FED-5-federation-establishment-and-initial-synchronization.bpmn
FED-6,FED,01-families/exchange-and-federation.md,"Continuous synchronization operation","recommended",bpmn/exchange-and-federation/FED-6-continuous-synchronization-operation.bpmn
FED-7,FED,01-families/exchange-and-federation.md,"Semantic mapping maintenance","recommended",bpmn/exchange-and-federation/FED-7-semantic-mapping-maintenance.bpmn
FED-8,FED,01-families/exchange-and-federation.md,"Incoming-data admission quarantine and trust evaluation","core",bpmn/exchange-and-federation/FED-8-incoming-data-admission-quarantine-and-trust-evaluation.bpmn
FED-9,FED,01-families/exchange-and-federation.md,"Cross-master conflict resolution","core",bpmn/exchange-and-federation/FED-9-cross-master-conflict-resolution.bpmn
FED-10,FED,01-families/exchange-and-federation.md,"Federation health monitoring","recommended",bpmn/exchange-and-federation/FED-10-federation-health-monitoring.bpmn
FED-11,FED,01-families/exchange-and-federation.md,"Federation suspension and clean termination","core",bpmn/exchange-and-federation/FED-11-federation-suspension-and-clean-termination.bpmn
QSC-1,QSC,01-families/quality-consistency-security.md,"Record, layer and model quality assessment","recommended (core above declared threshold)",bpmn/quality-consistency-security/QSC-1-record-layer-and-model-quality-assessment.bpmn
QSC-2,QSC,01-families/quality-consistency-security.md,"Intra-model consistency assessment","core",bpmn/quality-consistency-security/QSC-2-intra-model-consistency-assessment.bpmn
QSC-3,QSC,01-families/quality-consistency-security.md,"Cross-model consistency assessment","recommended (core once a Universe operates more than one model)",bpmn/quality-consistency-security/QSC-3-cross-model-consistency-assessment.bpmn
QSC-4,QSC,01-families/quality-consistency-security.md,"Validation run (V0-V5)","core",bpmn/quality-consistency-security/QSC-4-validation-run-v0-v5.bpmn
QSC-5,QSC,01-families/quality-consistency-security.md,"Periodic quality and security audit","recommended",bpmn/quality-consistency-security/QSC-5-periodic-quality-and-security-audit.bpmn
QSC-6,QSC,01-families/quality-consistency-security.md,"Access review and permission drift detection","core",bpmn/quality-consistency-security/QSC-6-access-review-and-permission-drift-detection.bpmn
QSC-7,QSC,01-families/quality-consistency-security.md,"Agent behavior audit","core (wherever Agents execute processes)",bpmn/quality-consistency-security/QSC-7-agent-behavior-audit.bpmn
QSC-8,QSC,01-families/quality-consistency-security.md,"Leak and exposure response","core",bpmn/quality-consistency-security/QSC-8-leak-and-exposure-response.bpmn
QSC-9,QSC,01-families/quality-consistency-security.md,"Integrity verification","core",bpmn/quality-consistency-security/QSC-9-integrity-verification.bpmn
QSC-10,QSC,01-families/quality-consistency-security.md,"Certification and conformance checking","core (for publishing or federating models; recommended otherwise)",bpmn/quality-consistency-security/QSC-10-certification-and-conformance-checking.bpmn
QSC-11,QSC,01-families/quality-consistency-security.md,"Quality debt register and remediation planning","core",bpmn/quality-consistency-security/QSC-11-quality-debt-register-and-remediation-planning.bpmn
QSC-12,QSC,01-families/quality-consistency-security.md,"Outcome drift watch","optional",bpmn/quality-consistency-security/QSC-12-outcome-drift-watch.bpmn
QSC-13,QSC,01-families/quality-consistency-security.md,"Backup and disaster recovery","core",bpmn/quality-consistency-security/QSC-13-backup-and-disaster-recovery.bpmn
QSC-14,QSC,01-families/quality-consistency-security.md,"Operational incident management and postmortem","core",bpmn/quality-consistency-security/QSC-14-operational-incident-management-and-postmortem.bpmn
QSC-15,QSC,01-families/quality-consistency-security.md,"Standing job and monitoring operations","core (wherever any standing job or monitor is declared)",bpmn/quality-consistency-security/QSC-15-standing-job-and-monitoring-operations.bpmn
CTX-1,CTX,01-families/context-execution-collaboration.md,"Context extraction","core",bpmn/context-execution-collaboration/CTX-1-context-extraction.bpmn
CTX-2,CTX,01-families/context-execution-collaboration.md,"Context scaling","recommended",bpmn/context-execution-collaboration/CTX-2-context-scaling.bpmn
CTX-3,CTX,01-families/context-execution-collaboration.md,"Decomposition","recommended",bpmn/context-execution-collaboration/CTX-3-decomposition.bpmn
CTX-4,CTX,01-families/context-execution-collaboration.md,"Composition and model merge","recommended",bpmn/context-execution-collaboration/CTX-4-composition-and-model-merge.bpmn
CTX-5,CTX,01-families/context-execution-collaboration.md,"Full context task execution (the FCD loop)","core",bpmn/context-execution-collaboration/CTX-5-full-context-task-execution-the-fcd-loop.bpmn
CTX-6,CTX,01-families/context-execution-collaboration.md,"Concurrent work partitioning and locking","recommended",bpmn/context-execution-collaboration/CTX-6-concurrent-work-partitioning-and-locking.bpmn
CTX-7,CTX,01-families/context-execution-collaboration.md,"Merge discipline and Steward arbitration","recommended",bpmn/context-execution-collaboration/CTX-7-merge-discipline-and-steward-arbitration.bpmn
CTX-8,CTX,01-families/context-execution-collaboration.md,"Actor handoff","recommended",bpmn/context-execution-collaboration/CTX-8-actor-handoff.bpmn
CTX-9,CTX,01-families/context-execution-collaboration.md,"Delegation contract lifecycle","core",bpmn/context-execution-collaboration/CTX-9-delegation-contract-lifecycle.bpmn
CTX-10,CTX,01-families/context-execution-collaboration.md,"Session bootstrap","core",bpmn/context-execution-collaboration/CTX-10-session-bootstrap.bpmn
CTX-11,CTX,01-families/context-execution-collaboration.md,"Knowledge handback","recommended",bpmn/context-execution-collaboration/CTX-11-knowledge-handback.bpmn
GOV-1,GOV,01-families/governance-access-operations.md,"Governance decision and escalation ledger","core",bpmn/governance-access-operations/GOV-1-governance-decision-and-escalation-ledger.bpmn
GOV-2,GOV,01-families/governance-access-operations.md,"Policy and configuration lifecycle","core",bpmn/governance-access-operations/GOV-2-policy-and-configuration-lifecycle.bpmn
GOV-3,GOV,01-families/governance-access-operations.md,"Role appointment, succession and continuity","core",bpmn/governance-access-operations/GOV-3-role-appointment-succession-and-continuity.bpmn
GOV-4,GOV,01-families/governance-access-operations.md,"Model and Dimension genesis","core (at birth)",bpmn/governance-access-operations/GOV-4-model-and-dimension-genesis.bpmn
GOV-5,GOV,01-families/governance-access-operations.md,"Stewardship resourcing and capacity planning","recommended",bpmn/governance-access-operations/GOV-5-stewardship-resourcing-and-capacity-planning.bpmn
GOV-6,GOV,01-families/governance-access-operations.md,"Auditor engagement lifecycle","recommended",bpmn/governance-access-operations/GOV-6-auditor-engagement-lifecycle.bpmn
GOV-7,GOV,01-families/governance-access-operations.md,"Internal access grant lifecycle","core",bpmn/governance-access-operations/GOV-7-internal-access-grant-lifecycle.bpmn
GOV-8,GOV,01-families/governance-access-operations.md,"Credential and key lifecycle","core (where any credential exists)",bpmn/governance-access-operations/GOV-8-credential-and-key-lifecycle.bpmn
